scorer,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000
51,100.1749954,150.1894379,1,44.6028595,160.3996582,1,42.81095123,96.12628937,1
52,99.87975311,150.3232574,1,44.64430618,160.3444214,1,42.82722092,96.1607666,1
53,99.85759735,150.322525,1,44.71632004,160.3999329,1,42.80632019,96.14562988,1
54,99.86193848,150.2625427,1,44.65314102,160.2996826,1,42.84872818,96.22592926,1
55,99.90117645,150.2351837,1,44.69186783,160.3772583,1,42.83757401,96.14402008,1
56,99.82614136,150.1970215,1,44.62261581,160.3710022,1,42.67969513,96.20072174,1
57,99.8769455,150.275116,1,44.64150238,160.3701477,1,42.90002441,96.19490051,1
58,99.89170074,150.266449,1,44.65534973,160.3957672,1,42.81397629,96.19921112,1
59,99.89221191,150.2403717,1,44.60451889,160.3808746,1,42.76373291,96.16854858,1
60,99.89178467,150.2310028,1,44.64225388,160.3365631,1,42.64584732,96.16609192,1
61,99.9323349,150.2373352,1,44.6337471,160.4249115,1,43.0018692,96.17660522,1
62,99.90538788,150.2281952,1,44.63227081,160.4214783,1,42.89482117,96.28446198,1
63,99.94960785,150.1966248,1,44.60374832,160.3219604,1,42.84459305,96.19732666,1
64,99.91456604,150.1697388,1,44.68516922,160.4319763,1,42.90628052,96.16842651,1
65,99.95910645,150.2093506,1,44.61755753,160.3995514,1,42.82157135,96.23855591,1
66,99.89978027,150.2035828,1,44.6339798,160.3783722,1,42.85975647,96.24212646,1
67,99.97099304,150.2293854,1,44.63167191,160.4610901,1,42.8560791,96.25624084,1
68,99.89536285,150.2241364,1,44.62945557,160.414505,1,42.72802734,96.22621918,1
69,99.97116852,150.1990051,1,44.60197449,160.4721832,1,42.90547562,96.24525452,1
70,99.89930725,150.2898254,1,44.65769196,160.3922882,1,42.86948776,96.30704498,1
71,99.93427277,150.3881073,1,44.64029312,160.3931274,1,42.90172958,96.22600555,1
72,99.89280701,150.4398193,1,44.64375305,160.391037,1,42.93408585,96.27932739,1
73,99.74885559,150.3467407,1,44.62991714,160.4334412,1,42.85328674,96.30596924,1
74,99.70155334,150.2980804,1,44.7036705,160.4604034,1,42.87683487,96.22668457,1
75,99.7644043,150.2927856,1,44.66693115,160.3854523,1,42.83139038,96.21665955,1
76,99.7482605,150.3414001,1,44.69734192,160.3652954,1,43.00919342,96.2241745,1
77,99.67470551,150.2587128,1,44.60990906,160.3826141,1,42.89214706,96.13420868,1
78,99.8036499,150.3516388,1,44.69686508,160.4183502,1,42.76978683,96.17530823,1
79,99.7769165,150.3658295,1,44.60737991,160.4102478,1,42.90064621,96.19583893,1
80,99.80095673,150.355484,1,44.63748169,160.3884583,1,42.74348068,96.1999588,1
81,99.82727051,150.4083557,1,44.64349365,160.392807,1,42.79179764,96.09004211,1
82,99.77739716,150.37146,1,44.64368057,160.4154968,1,42.76479721,96.15466309,1
83,99.80348206,150.3916168,1,44.67301178,160.4132233,1,42.81607437,96.19997406,1
84,99.78639221,150.4246979,1,44.62763977,160.4666138,1,42.89078522,96.20795441,1
85,99.73026276,150.3213196,1,44.6496582,160.4710388,1,42.89807892,96.17563629,1
86,99.78074646,150.3289795,1,44.66340256,160.3892059,1,42.85858536,96.19311523,1
87,99.80504608,150.3552704,1,44.56248856,160.4399719,1,42.78139877,96.12596893,1
88,99.77593994,150.3384399,1,44.62133789,160.4407501,1,42.83958054,96.20588684,1
89,99.75184631,150.3974915,1,44.59682083,160.4335632,1,42.85726547,96.14654541,1
90,99.75687408,150.352356,1,44.61439896,160.4082489,1,42.73035049,96.20586395,1
91,99.73988342,150.3016663,1,44.68841171,160.3949738,1,42.8757515,96.17765808,1
92,99.82022095,150.4160309,1,44.5977211,160.4628754,1,42.7690506,96.1536026,1
93,99.77594757,150.3752136,1,44.61687469,160.3927307,1,42.85092926,96.17863464,1
94,99.69862366,150.3397827,1,44.63336945,160.4557037,1,42.87930679,96.22686768,1
95,99.78678131,150.3500366,1,44.63860321,160.3974609,1,42.70727158,96.20700836,1
96,99.81414032,150.3613739,1,44.64640808,160.4160309,1,42.96265793,96.24094391,1
97,99.76360321,150.4515381,1,44.63619614,160.3972015,1,42.76350403,96.1313324,1
98,99.77970123,150.3500519,1,44.59747696,160.3864136,1,42.80056381,96.16001129,1
99,99.80219269,150.3865509,1,44.63909912,160.4421539,1,42.90989304,96.2046051,1
100,99.75762939,150.3384399,1,44.61419296,160.397644,1,42.93793869,96.22563171,1
101,99.82209778,150.3390656,1,44.67962646,160.3975677,1,42.90766907,96.24468231,1
102,99.77706909,150.3222961,1,44.63285446,160.4430237,1,42.7930336,96.18492126,1
103,99.81711578,150.3543701,1,44.64603424,160.4044952,1,42.78163147,96.19982147,1
104,99.801651,150.3498535,1,44.63836288,160.3854675,1,42.85719681,96.19612885,1
105,99.79476166,150.3725128,1,44.62099075,160.469635,1,42.94458389,96.21537781,1
106,99.82514954,150.3751526,1,44.64066315,160.422348,1,42.91067123,96.13903046,1
107,99.795578,150.1621704,1,44.65135956,160.3940582,1,42.72159576,96.17422485,1
108,99.85090637,150.1449432,1,44.60564423,160.3652649,1,42.89342499,96.17376709,1
109,99.88559723,150.2225189,1,44.57242584,160.3558502,1,42.81991959,96.14456177,1
110,99.86649323,150.2567291,1,44.59004211,160.4113007,1,42.76255798,96.20458984,1
111,99.86709595,150.3236084,1,44.58267212,160.3875122,1,42.86104965,96.2485199,1
112,99.7403183,150.3191681,1,44.51206207,160.3871155,1,42.86524963,96.1699295,1
113,99.66375732,150.4263763,1,44.49598694,160.4190216,1,42.85806274,96.17715454,1
114,99.58807373,150.368042,1,44.49736786,160.3612061,1,42.8470192,96.22144318,1
115,99.62918091,150.4033661,1,44.52901459,160.4308929,1,42.78203201,96.25699615,1
116,99.67018127,150.3707581,1,44.5177803,160.403595,1,42.77302551,96.17103577,1
117,99.54281616,150.4179382,1,44.46466446,160.3630066,1,42.79981995,96.20711517,1
118,99.4052887,150.4086914,1,44.4792366,160.380188,1,42.91995621,96.2442627,1
119,99.34861755,150.430603,1,44.50343704,160.3842163,1,42.85346222,96.19797516,1
120,99.36488342,150.499054,1,44.5210228,160.430191,1,42.78343964,96.20420837,1
121,99.44171143,150.5414276,1,44.51873016,160.4146423,1,42.87791824,96.19831848,1
122,99.41988373,150.512619,1,44.55168915,160.419693,1,42.85604858,96.14404297,1
123,99.8116684,150.4166718,1,44.60027313,160.3335114,1,42.81977081,96.09461975,1
124,99.89520264,150.3283539,1,44.6002388,160.4121552,1,42.84749222,96.18885803,1
125,99.57659912,149.8555298,1,44.67677689,160.4020691,1,42.77317429,96.21357727,1
126,99.36296082,149.5232849,1,44.68708038,160.449646,1,42.90327835,96.19516754,1
127,99.28981781,149.3061981,1,44.63788223,160.4082336,1,42.83004761,96.18161011,1
128,99.36277008,149.3963928,1,44.68402481,160.4089203,1,42.81694794,96.14329529,1
129,99.3028717,149.3677063,1,44.63753128,160.4159546,1,42.89992905,96.25302124,1
130,99.28466797,149.4031677,1,44.6517601,160.3880768,1,42.85755539,96.23555756,1
131,99.27974701,149.4117584,1,44.63834381,160.4542389,1,42.85316467,96.15164948,1
132,99.34584045,149.4656219,1,44.67733383,160.4406433,1,42.83174133,96.2077179,1
133,99.32794189,149.4470367,1,44.64118195,160.3974304,1,42.84528351,96.30175018,1
134,99.31386566,149.411438,1,44.71413422,160.4036713,1,42.95761108,96.20911407,1
135,99.25933075,149.3980865,1,44.64971542,160.3920593,1,42.84651184,96.16426086,1
136,99.23311615,149.3887024,1,44.6772995,160.3811798,1,42.88455582,96.15697479,1
137,99.31090546,149.4010468,1,44.60103607,160.426239,1,42.7279892,96.1612854,1
138,99.31655884,149.4197083,1,44.62694931,160.3889008,1,42.75947189,96.1726532,1
139,99.31773376,149.4680481,1,44.69062424,160.3777161,1,42.77671432,96.19249725,1
140,99.3476181,149.4388733,1,44.64538956,160.3658752,1,42.7371788,96.15567017,1
141,99.33443451,149.4729309,1,44.69030762,160.4013824,1,42.83069229,96.18805695,1
142,99.30848694,149.4356079,1,44.59992218,160.3981934,1,42.88256836,96.21173859,1
143,99.35879517,149.4351959,1,44.65155029,160.4511719,1,42.87591553,96.22763062,1
144,99.25675201,149.3982391,1,44.63175201,160.4039459,1,42.81031418,96.21191406,1
145,99.37231445,149.4482574,1,44.66165543,160.4066925,1,42.85667038,96.15479279,1
146,99.32770538,149.4622955,1,44.66000366,160.4327087,1,42.89133453,96.20005798,1
147,99.32263184,149.4475708,1,44.64934158,160.4450531,1,42.90621567,96.19419098,1
148,99.34365082,149.4078522,1,44.62370682,160.4031677,1,42.89953995,96.21730042,1
149,99.33161926,149.4717865,1,44.61452866,160.4334869,1,42.96027374,96.14247894,1
150,99.33132935,149.4238739,1,44.61657333,160.400589,1,42.81874847,96.11251068,1
151,99.36760712,149.4507141,1,44.67995834,160.3873596,1,42.86771774,96.17801666,1
152,99.28004456,149.4173584,1,44.6894455,160.4338074,1,42.76052475,96.19702911,1
153,99.3546524,149.4967499,1,44.63251495,160.3652802,1,42.82223129,96.1442337,1
154,99.31765747,149.4255829,1,44.60904694,160.3661804,1,42.81432724,96.21662903,1
155,99.29216766,149.4382935,1,44.61339188,160.3517609,1,42.80192184,96.1601181,1
156,99.31151581,149.4215546,1,44.58650208,160.4284821,1,42.87630844,96.14225769,1
157,99.36716461,149.430954,1,44.62384796,160.3795319,1,42.78455734,96.16557312,1
158,99.31705475,149.4092407,1,44.5971489,160.3659515,1,42.70520782,96.16891479,1
159,99.30712128,149.3907013,1,44.6942482,160.3949432,1,42.79836273,96.12786102,1
160,99.32733154,149.46492,1,44.64916992,160.4385681,1,42.80823517,96.15184021,1
161,99.33811951,149.4285736,1,44.61151123,160.4347687,1,42.76931,96.22325897,1
162,99.32215881,149.4147797,1,44.68507004,160.4267578,1,42.90989304,96.20497894,1
163,99.27933502,149.503067,1,44.6714592,160.375885,1,42.74880981,96.24207306,1
164,99.30198669,149.3894501,1,44.63545227,160.4096832,1,42.81483841,96.19275665,1
165,99.32165527,149.4495697,1,44.71021271,160.3838806,1,42.78052902,96.13502502,1
166,99.3375473,149.4585876,1,44.64812469,160.4347839,1,42.92725754,96.18486786,1
167,99.33782196,149.4140778,1,44.69034576,160.382782,1,42.90782166,96.21292877,1
168,99.32161713,149.4093323,1,44.62563705,160.3832855,1,42.8181572,96.25986481,1
169,99.29051971,149.4691315,1,44.66332626,160.369812,1,42.89480591,96.18630219,1
170,99.43460846,149.8500824,1,44.56830597,160.3884125,1,42.8812294,96.20852661,1
171,100.3803864,150.1040497,1,44.62573242,160.4108582,1,42.79165268,96.23501587,1
172,101.4743347,149.3979492,1,44.50616455,160.4040375,1,42.85159302,96.17737579,1
173,101.9930344,148.532196,1,44.51383972,160.3469238,1,42.81032181,96.18282318,1
174,102.4960022,147.7218323,1,44.54158401,160.3683167,1,42.82965851,96.19316101,1
175,103.488472,146.9124756,0.999999881,44.47525024,160.3366699,1,42.9105835,96.244133,1
176,103.685936,143.0356903,0.999998331,44.51183319,160.3729553,1,42.86663437,96.28795624,1
177,105.5393677,140.1478119,0.999999762,44.43865967,160.374649,1,42.77964401,96.23698425,1
178,106.4618759,138.4684753,0.999999642,44.4893074,160.3574677,1,42.93331909,96.34952545,1
179,106.858963,136.6994629,0.999999762,44.49206161,160.2971039,1,42.81526947,96.28777313,1
180,108.1053314,132.865509,0.999999881,44.55070496,160.2421112,1,42.97650528,96.27786255,1
181,109.6313171,127.6972733,0.999999046,44.56484604,160.2167206,1,42.90209198,96.24677277,1
182,110.3069992,126.5369568,0.999999046,44.5786438,160.2699585,1,42.88676834,96.30755615,1
183,111.6875992,123.3428955,0.999999285,44.48222351,160.0948944,1,42.82743073,96.16802216,1
184,110.8277893,121.1022034,0.999999523,44.52537918,160.209549,1,42.82515335,96.18558502,1
185,108.5730133,117.4446564,0.999999881,44.57167053,160.1656036,1,42.728302,96.17250061,1
186,107.1159439,114.8234787,0.999999762,44.56755066,160.1500397,1,42.78570557,96.09568024,1
187,105.8267136,112.6786957,0.999999404,44.54569626,160.14534,1,42.73184204,96.0945282,1
188,105.4046173,110.2979889,0.999999642,44.5621376,160.1808472,1,42.69342422,96.10219574,1
189,104.3401718,108.5468216,0.999999523,44.504673,160.1210175,1,42.74546814,95.96320343,1
190,103.8887939,107.4500198,0.999999285,44.53771973,160.1274719,1,42.76117706,96.05898285,1
191,104.536972,107.8316727,0.999999404,44.61988068,160.1603394,1,42.72370529,96.05170441,1
192,105.2668152,108.1500931,0.999999523,44.58066559,160.1846619,1,42.7360611,96.08145905,1
193,105.2769165,108.1888885,0.999999523,44.58665466,160.2125244,1,42.84607697,96.12695313,1
194,106.0050507,107.14505,0.999999523,44.5623703,160.2482758,1,42.79711533,96.09925079,1
195,106.0503006,107.3523102,0.999999285,44.5526123,160.2109222,1,42.81020355,96.10923767,1
196,106.1023331,107.0748062,0.999999404,44.59791183,160.2226868,1,42.75017929,96.12768555,1
197,106.6484833,106.6598587,0.999999642,44.56415939,160.169281,1,42.76656723,96.09483337,1
198,108.2989502,107.0672455,0.999999881,44.55324936,160.2048492,1,42.79066086,96.1593399,1
199,109.105957,107.5301208,0.999999881,44.56241226,160.2092896,1,42.8767395,96.13524628,1
200,109.9087601,109.3305817,0.999999762,44.45931625,160.1602936,1,42.93911743,96.12514496,1
201,111.448761,113.1961594,0.999999523,44.49937057,160.2197571,1,42.81102371,96.18587494,1
202,111.374939,119.295929,0.999999762,44.4824791,160.1867065,1,42.94290161,96.26620483,1
203,110.5666428,126.3410797,0.999999166,44.4960556,160.2263489,1,42.88734818,96.17003632,1
204,110.6996078,133.6478577,0.999999762,44.4916954,160.2274017,1,42.89245605,96.200737,1
205,109.7446594,137.3104553,0.999999523,44.48501968,160.3399963,1,42.92452621,96.28028107,1
206,109.2703476,139.557251,0.999999404,44.50381851,160.3039703,1,42.88431931,96.1919632,1
207,107.8915634,144.5969086,0.999999046,44.49920273,160.3348999,1,42.73778152,96.14403534,1
208,105.2244873,147.4499054,0.999999523,44.59155273,160.3663177,1,42.91179657,96.2530899,1
209,102.670784,149.3208618,0.999999881,44.59738922,160.3438568,1,42.97544479,96.19963837,1
210,101.4838715,150.0595551,1,44.60074615,160.3955383,1,42.73616791,96.18804932,1
211,102.115799,150.9871521,1,44.56706238,160.3488464,1,42.85004425,96.06654358,1
212,102.3418121,151.0607147,1,44.57374191,160.3948975,1,42.8584938,96.10206604,1
213,101.6732712,151.2814941,1,44.61207581,160.3820801,1,42.82264709,96.15975189,1
214,100.5440521,151.6781921,0.999999881,44.65916824,160.3488464,1,42.80049515,96.11566925,1
215,99.06645203,152.0040741,0.999999881,44.57205582,160.3610229,1,42.87757111,96.12248993,1
216,98.56902313,152.6236115,0.999999881,44.64190292,160.2871704,1,42.84773636,96.17292786,1
217,98.76725769,152.3224792,0.999999881,44.57443237,160.4132385,1,42.76771927,96.15292358,1
218,98.66397858,152.150177,0.999999881,44.58618164,160.3879089,1,42.86888885,96.11438751,1
219,98.87319946,151.9906158,0.999999881,44.67068863,160.385376,1,42.84936905,96.22924042,1
220,98.78086853,151.6280823,0.999999881,44.61831665,160.3604126,1,42.79245758,96.17845154,1
221,98.40724182,151.2726135,0.999999881,44.60314941,160.3994751,1,42.87299347,96.19160461,1
222,98.771492,151.6661072,0.999999881,44.64139938,160.391571,1,42.71478653,96.15740967,1
223,98.95442963,151.769043,0.999999881,44.59371567,160.3557739,1,42.85446167,96.16370392,1
224,98.9725647,151.6499786,0.999999881,44.62740707,160.3526306,1,42.83319092,96.15650177,1
225,99.02963257,151.6443787,0.999999881,44.61629105,160.3569641,1,42.83747864,96.2009201,1
226,98.76925659,151.4314117,0.999999881,44.63410187,160.4126434,1,42.89011002,96.13883209,1
227,98.5903244,151.470871,0.999999881,44.62034607,160.3959198,1,42.8319397,96.07969666,1
228,98.67798615,151.6447296,0.999999881,44.63802719,160.4191742,1,42.73297882,96.08750916,1
229,98.6571579,151.671402,0.999999881,44.58917618,160.4030304,1,42.75596619,96.11173248,1
230,98.66986084,151.7292633,0.999999881,44.51748276,160.3996277,1,42.78399277,96.17391205,1
231,98.65530396,151.7245483,0.999999881,44.5879097,160.4234467,1,42.91471863,96.16131592,1
232,98.66205597,151.7784882,0.999999881,44.64416504,160.4043732,1,42.75488281,96.10178375,1
233,98.68793488,151.7524109,0.999999881,44.65364075,160.4252625,1,42.77726364,96.1102829,1
234,98.65612793,151.7097321,0.999999881,44.61057663,160.3972168,1,42.8122406,96.14138794,1
235,98.66356659,151.698822,0.999999881,44.62458038,160.4028168,1,42.94334793,96.18008423,1
236,98.5681839,151.6962433,0.999999881,44.59626389,160.3889923,1,42.90590286,96.09372711,1
237,98.65480042,151.7010956,0.999999881,44.60622406,160.4006958,1,42.89151382,96.17321777,1
238,98.64347076,151.6595917,0.999999881,44.60915756,160.3484497,1,42.89143372,96.20767975,1
239,98.60856628,151.7097931,0.999999881,44.63083649,160.350174,1,42.78748703,96.09191895,1
240,98.65362549,151.6897583,0.999999881,44.61843872,160.4083557,1,42.83509445,96.11398315,1
241,98.64962769,151.707016,0.999999881,44.62201309,160.3998108,1,42.7694664,96.17037964,1
242,98.66808319,151.6662292,0.999999881,44.6385498,160.3440094,1,42.85736084,96.16983795,1
243,98.76966095,151.6018982,0.999999881,44.64899445,160.3573303,1,42.76821899,96.11056519,1
244,98.85466766,151.766098,0.999999881,44.66648865,160.3548584,1,42.85990524,96.15962982,1
245,98.72285461,151.8833313,0.999999881,44.62311554,160.3568115,1,42.68455505,96.14828491,1
246,98.65288544,151.9319458,0.999999881,44.61988831,160.4049072,1,42.90617752,96.15366364,1
247,98.67311096,151.9097748,0.999999881,44.62631226,160.3494873,1,42.9536705,96.16375732,1
248,98.57935333,151.8568726,0.999999881,44.6170311,160.3135376,1,42.78456116,96.14655304,1
249,98.58576202,151.9091492,0.999999881,44.6653862,160.3379974,1,42.84757233,96.14237976,1
250,98.58618927,151.8965607,0.999999881,44.61241913,160.335556,1,42.81979752,96.13601685,1
251,98.32414246,151.9720612,0.999999881,44.63258743,160.3419647,1,42.71868515,96.12117004,1
252,98.17446899,152.11409,0.999999881,44.59326935,160.3087311,1,42.8260231,96.1591568,1
253,98.31941223,152.0464478,0.999999881,44.62876129,160.3621521,1,42.90290833,96.13189697,1
254,98.31716919,152.0139008,0.999999881,44.65876007,160.356781,1,42.88130188,96.1072464,1
255,98.27490234,152.0344238,0.999999881,44.62462997,160.3633423,1,42.83724976,96.12841034,1
256,98.28182983,152.0119324,0.999999881,44.61826324,160.311142,1,42.95418549,96.14256287,1
257,98.31177521,152.0370026,0.999999881,44.66226959,160.2786407,1,42.80736923,96.16158295,1
258,98.27627563,151.9944,0.999999881,44.59029388,160.3621674,1,42.77439117,96.23009491,1
259,98.28630066,152.0199585,0.999999881,44.62128448,160.3429565,1,42.73751831,96.1364975,1
260,98.23074341,152.024826,0.999999881,44.5630188,160.3372498,1,42.79641724,96.16719055,1
261,98.24403381,152.0053253,0.999999881,44.62032318,160.3222656,1,42.81138992,96.1418457,1
262,98.31427002,152.04599,0.999999881,44.64935684,160.3430023,1,42.71098709,96.18981934,1
263,98.26725006,152.0290375,0.999999881,44.63168335,160.3183136,1,42.9107933,96.15925598,1
264,98.2805481,152.0415039,0.999999881,44.63408279,160.3007355,1,42.75625229,96.07596588,1
265,98.24003601,152.0357819,0.999999881,44.60660553,160.3191376,1,42.69455338,96.14743805,1
266,98.25067139,152.0450287,0.999999881,44.65151978,160.3552399,1,42.82797623,96.10483551,1
267,98.34078217,152.0394897,0.999999881,44.65711594,160.3517456,1,42.90560532,96.15710449,1
268,98.2798996,152.0285034,0.999999881,44.61805725,160.3141022,1,42.7923851,96.00823975,1
269,98.27063751,151.9886322,0.999999881,44.5863266,160.2856293,1,42.7949028,96.20071411,1
270,98.27426147,152.013031,0.999999881,44.62757492,160.3452454,1,42.90722656,96.16665649,1
271,98.29793549,152.0072632,0.999999881,44.65587234,160.3024597,1,42.79960632,96.1530838,1
272,98.30619812,152.056015,0.999999881,44.60684204,160.3313446,1,42.90753174,96.11792755,1
273,98.25921631,152.0511627,0.999999881,44.67071152,160.3604431,1,42.81887436,96.10675812,1
274,98.31375885,151.9935608,0.999999881,44.59812546,160.2804871,1,42.80614471,96.11424255,1
275,98.24259186,152.0005798,0.999999881,44.61133957,160.345871,1,42.78624344,96.07147217,1
276,98.3141861,151.9880524,0.999999881,44.61044312,160.364975,1,42.68171692,96.10218048,1
277,98.2565918,151.9884949,0.999999881,44.58408356,160.2822723,1,42.92686462,96.18572998,1
278,98.25896454,152.0270233,0.999999881,44.60757446,160.3460846,1,42.77809143,96.15291595,1
279,98.22503662,152.0386963,0.999999881,44.59588623,160.348999,1,42.76661301,96.11198425,1
280,98.2565155,152.018219,0.999999881,44.63256073,160.3226013,1,42.87573242,96.0811615,1
281,98.24797821,152.0220795,0.999999881,44.62051773,160.357193,1,42.69646835,96.12049866,1
282,98.23806763,152.0380402,0.999999881,44.60887909,160.344101,1,42.80184174,96.21612549,1
283,98.28614807,152.0395813,0.999999881,44.63241196,160.334549,1,42.71931839,96.08660889,1
284,98.21066284,152.0469055,0.999999881,44.69758224,160.3030853,1,42.76013947,96.09329224,1
285,98.23587799,152.0152893,0.999999881,44.60480881,160.3476563,1,42.80843353,96.07809448,1
286,98.27574158,151.9709015,0.999999881,44.54848099,160.3318787,1,42.90971756,96.17369843,1
287,98.18237305,152.0599823,0.999999881,44.59998322,160.2947083,1,42.83344269,96.09187317,1
288,98.20498657,152.0042419,0.999999881,44.62308121,160.3468323,1,42.88884354,96.06150055,1
289,98.26328278,152.0609131,0.999999881,44.62569046,160.3975677,1,42.88794327,96.20709229,1
290,98.22891998,152.0157928,0.999999881,44.5870285,160.3433838,1,42.89709091,96.19901276,1
291,98.26531219,152.0376587,0.999999881,44.70113373,160.3795013,1,42.92352295,96.1240387,1
